1.央视,#genre#
邯郸｜科教频道,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8
4.剧集,#genre#
剧集_三国演义,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352944
剧集_三国演义,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602081
剧集_三国演义,https://live.ottiptv.cc/yy/23512910
剧集_三国演义,https://live.ottiptv.cc/yy/1354936241
剧集_亮剑,http://tv.zimtv.cn/tv/player/api/huya.php?id=30080238
剧集_亮剑,https://live.ottiptv.cc/yy/1352946111
剧集_亮剑,https://live.ottiptv.cc/yy/1356043643
剧集_伪装者,https://live.ottiptv.cc/yy/1382851593
剧集_伪装者,https://live.ottiptv.cc/yy/1354936244
剧集_侠客行,https://live.ottiptv.cc/yy/1354282410
剧集_倚天屠龙记,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342403
剧集_倚天屠龙记,https://live.ottiptv.cc/yy/33300793
剧集_叛逆者,https://live.ottiptv.cc/yy/1382736868
剧集_唐朝诡实录,https://live.ottiptv.cc/yy/1353913646
剧集_士兵突击,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342430
剧集_士兵突击,https://live.ottiptv.cc/yy/1382768483
剧集_大时代,https://live.ottiptv.cc/yy/1354930891
剧集_大江大河,https://live.ottiptv.cc/yy/1382736806
剧集_大江大河2,https://live.ottiptv.cc/yy/1382736797
剧集_大秦帝国1,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602077
剧集_大秦帝国4,http://tv.zimtv.cn/tv/player/api/huya.php?id=23903130
剧集_天龙八部,http://tv.zimtv.cn/tv/player/api/huya.php?id=23903123
剧集_天龙八部,https://live.ottiptv.cc/yy/1351814644
剧集_天龙八部,https://live.ottiptv.cc/yy/68260522
剧集_娘亲舅大,https://live.ottiptv.cc/yy/1354932360
剧集_宰相刘罗锅,https://live.ottiptv.cc/yy/1382745191
剧集_宰相刘罗锅,https://live.ottiptv.cc/yy/1353892468
剧集_射雕英雄传,http://tv.zimtv.cn/tv/player/api/huya.php?id=23824164
剧集_少年包青天,https://live.ottiptv.cc/yy/1356043677
剧集_少年包青天,https://live.ottiptv.cc/yy/1382736814
剧集_少年包青天,https://live.ottiptv.cc/yy/1382851540
剧集_庆余年,http://tv.zimtv.cn/tv/player/api/huya.php?id=23740156
